id,Name,Code
cloud_circle,Cloud Circle,e2be
cloud_done,Cloud Done,e2bf
cloud_download,Cloud Download,e2c0
cloud_off,Cloud Off,e2c1
cloud_queue,Cloud Queue,e2c2
cloud_upload,Cloud Upload,e2c3
code,Code,e86f
collections,Collections,e3b6
collections_bookmark,Collections Bookmark,e431
color_lens,Color Lens,e3b7
colorize,Colorize,e3b8
comment,Comment,e0b9
comment_bank,Comment Bank,ea4e
commute,Commute,e940
compare,Compare,e3b9
compare_arrows,Compare Arrows,e915
compass_calibration,Compass Calibration,e57c
compress,Compress,e94d
computer,Computer,e30a
confirmation_num,Confirmation Num,e638
confirmation_number,Confirmation Number,e638
connect_without_contact,Connect Without Contact,f223
connected_tv,Connected Tv,e998
construction,Construction,ea3c
contact_mail,Contact Mail,e0d0
contact_page,Contact Page,f22e
contact_phone,Contact Phone,e0cf
contact_support,Contact Support,e94c
contactless,Contactless,ea71
contacts,Contacts,e0ba
content_copy,Content Copy,e14d
content_cut,Content Cut,e14e
content_paste,Content Paste,e14f
control_camera,Control Camera,e074
control_point,Control Point,e3ba
control_point_duplicate,Control Point Duplicate,e3bb
copyright,Copyright,e90c
coronavirus,Coronavirus,f221
corporate_fare,Corporate Fare,f1d0
countertops,Countertops,f1f7
create,Create,e150
create_new_folder,Create New Folder,e2cc
credit_card,Credit Card,e870
crop,Crop,e3be
crop_16_9,Crop 16 9,e3bc
crop_3_2,Crop 3 2,e3bd
crop_5_4,Crop 5 4,e3bf
crop_7_5,Crop 7 5,e3c0
crop_din,Crop Din,e3c1
crop_free,Crop Free,e3c2
crop_landscape,Crop Landscape,e3c3
crop_original,Crop Original,e3c4
crop_portrait,Crop Portrait,e3c5
crop_rotate,Crop Rotate,e437
crop_square,Crop Square,e3c6
dangerous,Dangerous,e99a
dashboard,Dashboard,e871
dashboard_customize,Dashboard Customize,e99b
data_usage,Data Usage,e1af
date_range,Date Range,e916
deck,Deck,ea42
dehaze,Dehaze,e3c7
delete,Delete,e872
delete_forever,Delete Forever,e92b
delete_outline,Delete Outline,e92e
delete_sweep,Delete Sweep,e16c
delivery_dining,Delivery Dining,ea72
departure_board,Departure Board,e576
description,Description,e873
design_services,Design Services,f10a
desktop_access_disabled,Desktop Access Disabled,e99d
desktop_mac,Desktop Mac,e30b
desktop_windows,Desktop Windows,e30c
details,Details,e3c8
developer_board,Developer Board,e30d
developer_mode,Developer Mode,e1b0
device_hub,Device Hub,e335
device_thermostat,Device Thermostat,e1ff
device_unknown,Device Unknown,e339
devices,Devices,e1b1
devices_other,Devices Other,e337
dialer_sip,Dialer Sip,e0bb
dialpad,Dialpad,e0bc
dinner_dining,Dinner Dining,ea57
directions,Directions,e52e
directions_bike,Directions Bike,e52f
directions_boat,Directions Boat,e532
directions_bus,Directions Bus,e530
directions_car,Directions Car,e531
directions_ferry,Directions Ferry,e532
directions_off,Directions Off,f10f
directions_railway,Directions Railway,e534
directions_run,Directions Run,e566
directions_subway,Directions Subway,e533
directions_train,Directions Train,e534
directions_transit,Directions Transit,e535
directions_walk,Directions Walk,e536
dirty_lens,Dirty Lens,ef4b
disabled_by_default,Disabled by Default,f230
disc_full,Disc Full,e610
dnd_forwardslash,Dnd Forwardslash,e611
dns,Dns,e875
do_not_disturb,Do Not Disturb,e612
do_not_disturb_alt,Do Not Disturb Alt,e611
do_not_disturb_off,Do Not Disturb Off,e643
do_not_disturb_on,Do Not Disturb on,e644
do_not_step,Do Not Step,f19f
do_not_touch,Do Not Touch,f1b0
dock,Dock,e30e
domain,Domain,e7ee
domain_disabled,Domain Disabled,e0ef
domain_verification,Domain Verification,ef4c
done,Done,e876
done_all,Done All,e877
done_outline,Done Outline,e92f
donut_large,Donut Large,e917
donut_small,Donut Small,e918
double_arrow,Double Arrow,ea50
drafts,Drafts,e151
drag_handle,Drag Handle,e25d
drag_indicator,Drag Indicator,e945
drive_eta,Drive Eta,e613
drive_file_move,Drive File Move,e675
drive_file_move_outline,Drive File Move Outline,e9a1
drive_file_rename_outline,Drive File Rename Outline,e9a2
drive_folder_upload,Drive Folder Upload,e9a3
dry,Dry,f1b3
dry_cleaning,Dry Cleaning,ea58
duo,Duo,e9a5
dvr,Dvr,e1b2
dynamic_feed,Dynamic Feed,ea14
dynamic_form,Dynamic Form,f1bf
east,East,f1df
eco,Eco,ea35
edit,Edit,e3c9
edit_attributes,Edit Attributes,e578
edit_location,Edit Location,e568
edit_off,Edit Off,e950
edit_road,Edit Road,ef4d
eject,Eject,e8fb
elderly,Elderly,f21a
electric_bike,Electric Bike,eb1b
electric_car,Electric Car,eb1c
electric_moped,Electric Moped,eb1d
electric_rickshaw,Electric Rickshaw,eb1e
electric_scooter,Electric Scooter,eb1f
electrical_services,Electrical Services,f102
elevator,Elevator,f1a0
email,Email,e0be
emoji_emotions,Emoji Emotions,ea22
emoji_events,Emoji Events,ea23
emoji_flags,Emoji Flags,ea1a
emoji_food_beverage,Emoji Food Beverage,ea1b
emoji_nature,Emoji Nature,ea1c
emoji_objects,Emoji Objects,ea24
emoji_people,Emoji People,ea1d
emoji_symbols,Emoji Symbols,ea1e
emoji_transportation,Emoji Transportation,ea1f
engineering,Engineering,ea3d
enhance_photo_translate,Enhance Photo Translate,e8fc
enhanced_encryption,Enhanced Encryption,e63f
equalizer,Equalizer,e01d
error,Error,e000
error_outline,Error Outline,e001
